"","ORF","WT","swr1","Ratios"
"2261","YHR081W",2.1019466682244,3.9233819745857,-0.900371735985915
"5059","YOR268C",0.0573258182243018,0.106969957090727,-0.899948720284046
"5177","YGL024W",0.0573258182243018,0.106969957090727,-0.899948720284046
"2521","YOL104C",1.5423374903205,2.87783691011827,-0.899866348818045
"6046","YOR247W",0.56779858050737,1.05934763957591,-0.899724959905018
"1368","YPR043W",0.955430303738364,1.78053218899404,-0.898085976266856
"2683","YHR085W",4.57787605534067,8.52654077326408,-0.897282154440369
"2988","YER159C",1.70885534325776,3.18149356250485,-0.896673926172651
"4336","YPR180W",2.77347768170908,5.16216309057186,-0.896279605791402
"5437","YIL111W",2.81442469472644,5.2380772536685,-0.896197290723289
"2653","YGL037C",10.5643293584785,19.6583175982539,-0.895938672514812
"1115","YFL038C",15.3660490849807,28.5920343372182,-0.895867004787321
"1284","YDL010W",0.72885683170898,1.35610300440825,-0.895759403246984
"5369","YBR082C",11.6371410995333,21.6424377700981,-0.895126336827203
"1715","YBR095C",3.28122064312432,6.10073819794856,-0.894751211356177
"110","YLR431C",1.07281174105479,1.99447210317549,-0.894610012918003
"3499","YIL102C",0.139219844259019,0.258798283284017,-0.894463181200317
"5928","YPR158W",1.6105825120161,2.99170815476324,-0.893386871648563
"3706","YBR279W",6.01648111268387,11.1731845503153,-0.893048594407339
"603","YEL008W",0.0873536277703647,0.162180257524651,-0.892658684353569
"3037","YFL010C",6.96099221295094,12.9226609453153,-0.892538304275824
"4709","YKL122C",2.73799027042737,5.07934763992097,-0.891525898120764
"2833","YJR111C",2.03643144739663,3.77155364839241,-0.889115698092598
"4337","YOR203W",0.193815861615497,0.358866952820504,-0.888762431312341
"3168","YJL189W",0.589636987449962,1.09040343356999,-0.886963078689565
"3334","YDR379W",3.73436758718309,6.90473819801757,-0.886722769695774
"4541","YMR105C",4.25848935380528,7.86746781183412,-0.885557627978424
"1431","YKL139W",3.75347619325786,6.92199141690318,-0.882959819988728
"5302","YDL204W",0.72885683170898,1.34230042929977,-0.881000245974569
"2009","YOL072W",1.5423374903205,2.83987982856995,-0.880711395795007
"4270","YHR146W",11.5716258787055,21.2801201735004,-0.878914712598853
"1046","YDR417C",0.0300278095460629,0.0552103004339236,-0.878638214038634
"3216","YJL115W",1.99275463351144,3.66113304752456,-0.877526119823316
